sex,age,SES,PIF
female,55,1,0.074352622
female,56,1,0.074352622
female,57,1,0.074352622
female,58,1,0.074352622
female,59,1,0.074352622
female,60,1,0.074832377
female,61,1,0.074832377
female,62,1,0.074832377
female,63,1,0.074832377
female,64,1,0.074832377
female,65,1,0.040887162
female,66,1,0.040887162
female,67,1,0.040887162
female,68,1,0.040887162
female,69,1,0.040887162
female,70,1,0.034799359
female,71,1,0.034799359
female,72,1,0.034799359
female,73,1,0.034799359
female,74,1,0.034799359
female,75,1,0.057112115
female,76,1,0.057112115
female,77,1,0.057112115
female,78,1,0.057112115
female,79,1,0.057112115
female,80,1,0.027773396
female,81,1,0.027773396
female,82,1,0.027773396
female,83,1,0.027773396
female,84,1,0.027773396
female,85,1,0.012840324
female,86,1,0.012840324
female,87,1,0.012840324
female,88,1,0.012840324
female,89,1,0.012840324
female,90,1,0.012828254
female,91,1,0.012828254
female,92,1,0.012828254
female,93,1,0.012828254
female,94,1,0.012828254
female,95,1,0.012828254
female,96,1,0.012828254
female,97,1,0.012828254
female,98,1,0.012828254
female,99,1,0.012828254
female,100,1,0.012828254
female,101,1,0.012828254
female,102,1,0.012828254
female,103,1,0.012828254
female,104,1,0.012828254
female,105,1,0.012828254
female,106,1,0.012828254
female,107,1,0.012828254
female,108,1,0.012828254
female,109,1,0.012828254
female,110,1,0.012828254
male,0,2,0
male,1,2,0
male,2,2,0
male,3,2,0
male,4,2,0
male,5,2,0
male,6,2,0
male,7,2,0
male,8,2,0
male,9,2,0
male,10,2,0
male,11,2,0
male,12,2,0
male,13,2,0
male,14,2,0
male,15,2,0
male,16,2,0
male,17,2,0
male,18,2,0
male,19,2,0
male,20,2,0
male,21,2,0
male,22,2,0
male,23,2,0
male,24,2,0
male,25,2,0.094701419
male,26,2,0.094701419
male,27,2,0.094701419
male,28,2,0.094701419
male,29,2,0.094701419
male,30,2,0.125622637
male,31,2,0.125622637
male,32,2,0.125622637
male,33,2,0.125622637
male,34,2,0.125622637
male,35,2,0.149479166
male,36,2,0.149479166
male,37,2,0.149479166
male,38,2,0.149479166
male,39,2,0.149479166
male,40,2,0.171124671
male,41,2,0.171124671
male,42,2,0.171124671
male,43,2,0.171124671
male,44,2,0.171124671
male,45,2,0.139492219
male,46,2,0.139492219
male,47,2,0.139492219
male,48,2,0.139492219
male,49,2,0.139492219
male,50,2,0.146598663
male,51,2,0.146598663
male,52,2,0.146598663
male,53,2,0.146598663
male,54,2,0.146598663
male,55,2,0.130138946
male,56,2,0.130138946
male,57,2,0.130138946
male,58,2,0.130138946
male,59,2,0.130138946
male,60,2,0.128697982
male,61,2,0.128697982
male,62,2,0.128697982
male,63,2,0.128697982
male,64,2,0.128697982
male,65,2,0.057220571
male,66,2,0.057220571
male,67,2,0.057220571
male,68,2,0.057220571
male,69,2,0.057220571
male,70,2,0.048583697
male,71,2,0.048583697
male,72,2,0.048583697
male,73,2,0.048583697
male,74,2,0.048583697
male,75,2,0.010067192
male,76,2,0.010067192
male,77,2,0.010067192
male,78,2,0.010067192
male,79,2,0.010067192
male,80,2,0.005099831
male,81,2,0.005099831
male,82,2,0.005099831
male,83,2,0.005099831
male,84,2,0.005099831
male,85,2,0.005107255
male,86,2,0.005107255
male,87,2,0.005107255
male,88,2,0.005107255
male,89,2,0.005107255
male,90,2,0.005115915
male,91,2,0.005115915
male,92,2,0.005115915
male,93,2,0.005115915
male,94,2,0.005115915
male,95,2,0.005115915
male,96,2,0.005115915
male,97,2,0.005115915
male,98,2,0.005115915
male,99,2,0.005115915
male,100,2,0.005115915
male,101,2,0.005115915
male,102,2,0.005115915
male,103,2,0.005115915
male,104,2,0.005115915
male,105,2,0.005115915
male,106,2,0.005115915
male,107,2,0.005115915
male,108,2,0.005115915
male,109,2,0.005115915
male,110,2,0.005115915
female,0,2,0
female,1,2,0
female,2,2,0
female,3,2,0
female,4,2,0
female,5,2,0
female,6,2,0
female,7,2,0
female,8,2,0
female,9,2,0
female,10,2,0
female,11,2,0
female,12,2,0
female,13,2,0
female,14,2,0
female,15,2,0
female,16,2,0
female,17,2,0
female,18,2,0
female,19,2,0
female,20,2,0
female,21,2,0
female,22,2,0
female,23,2,0
female,24,2,0
female,25,2,0.047139231
female,26,2,0.047139231
female,27,2,0.047139231
female,28,2,0.047139231
female,29,2,0.047139231
female,30,2,0.063502872
female,31,2,0.063502872
female,32,2,0.063502872
female,33,2,0.063502872
female,34,2,0.063502872
female,35,2,0.072182492
female,36,2,0.072182492
female,37,2,0.072182492
female,38,2,0.072182492
female,39,2,0.072182492
female,40,2,0.08354403
female,41,2,0.08354403
female,42,2,0.08354403
female,43,2,0.08354403
female,44,2,0.08354403
female,45,2,0.074239863
female,46,2,0.074239863
female,47,2,0.074239863
female,48,2,0.074239863
female,49,2,0.074239863
female,50,2,0.079882143
female,51,2,0.079882143
female,52,2,0.079882143
female,53,2,0.079882143
female,54,2,0.079882143
female,55,2,0.074352622
female,56,2,0.074352622
female,57,2,0.074352622
female,58,2,0.074352622
female,59,2,0.074352622
female,60,2,0.074832377
female,61,2,0.074832377
female,62,2,0.074832377
female,63,2,0.074832377
female,64,2,0.074832377
female,65,2,0.040887162
female,66,2,0.040887162
female,67,2,0.040887162
female,68,2,0.040887162
female,69,2,0.040887162
female,70,2,0.034799359
female,71,2,0.034799359
female,72,2,0.034799359
female,73,2,0.034799359
female,74,2,0.034799359
female,75,2,0.057112115
female,76,2,0.057112115
female,77,2,0.057112115
female,78,2,0.057112115
female,79,2,0.057112115
female,80,2,0.027773396
female,81,2,0.027773396
female,82,2,0.027773396
female,83,2,0.027773396
female,84,2,0.027773396
female,85,2,0.012840324
female,86,2,0.012840324
female,87,2,0.012840324
female,88,2,0.012840324
female,89,2,0.012840324
female,90,2,0.012828254
female,91,2,0.012828254
female,92,2,0.012828254
female,93,2,0.012828254
female,94,2,0.012828254
female,95,2,0.012828254
female,96,2,0.012828254
female,97,2,0.012828254
female,98,2,0.012828254
female,99,2,0.012828254
female,100,2,0.012828254
female,101,2,0.012828254
female,102,2,0.012828254
female,103,2,0.012828254
female,104,2,0.012828254
female,105,2,0.012828254
female,106,2,0.012828254
female,107,2,0.012828254
female,108,2,0.012828254
female,109,2,0.012828254
female,110,2,0.012828254
male,0,3,0
male,1,3,0
male,2,3,0
male,3,3,0
male,4,3,0
male,5,3,0
male,6,3,0
male,7,3,0
male,8,3,0
male,9,3,0
male,10,3,0
male,11,3,0
male,12,3,0
male,13,3,0
male,14,3,0
male,15,3,0
male,16,3,0
male,17,3,0
male,18,3,0
male,19,3,0
male,20,3,0
male,21,3,0
male,22,3,0
male,23,3,0
male,24,3,0
male,25,3,0.094701419
male,26,3,0.094701419
male,27,3,0.094701419
male,28,3,0.094701419
male,29,3,0.094701419
male,30,3,0.125622637
male,31,3,0.125622637
male,32,3,0.125622637
male,33,3,0.125622637
male,34,3,0.125622637
male,35,3,0.149479166
male,36,3,0.149479166
male,37,3,0.149479166
male,38,3,0.149479166
male,39,3,0.149479166
male,40,3,0.171124671
male,41,3,0.171124671
male,42,3,0.171124671
male,43,3,0.171124671
male,44,3,0.171124671
male,45,3,0.139492219
male,46,3,0.139492219
male,47,3,0.139492219
male,48,3,0.139492219
male,49,3,0.139492219
male,50,3,0.146598663
male,51,3,0.146598663
male,52,3,0.146598663
male,53,3,0.146598663
male,54,3,0.146598663
male,55,3,0.130138946
male,56,3,0.130138946
