age,sex,sub_pops,prop0,prop1,prop2,prop3,prop4,mort_RR0,mort_RR1,mort_RR2,mort_RR3,mort_RR4,yld_RR0,yld_RR1,yld_RR2,yld_RR3,yld_RR4
86,female,5,0.2,0.2,0.2,0.2,0.2,1.008446952,1.006335214,1.004223476,1.002111738,1,1.006855872,1.005141904,1.003427936,1.001713968,1
87,female,5,0.2,0.2,0.2,0.2,0.2,1.008446952,1.006335214,1.004223476,1.002111738,1,1.006855872,1.005141904,1.003427936,1.001713968,1
88,female,5,0.2,0.2,0.2,0.2,0.2,1.008446952,1.006335214,1.004223476,1.002111738,1,1.006855872,1.005141904,1.003427936,1.001713968,1
89,female,5,0.2,0.2,0.2,0.2,0.2,1.008446952,1.006335214,1.004223476,1.002111738,1,1.006855872,1.005141904,1.003427936,1.001713968,1
90,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
91,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
92,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
93,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
94,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
95,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
96,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
97,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
98,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
99,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
100,female,5,0.2,0.2,0.2,0.2,0.2,0.886413257,0.914809943,0.943206629,0.971603314,1,0.848308193,0.886231145,0.924154096,0.962077048,1
